"T","Distance","Radius","FreeRadius","X","Y","Z"
0.000,0.000,2.715,2.715,141.316,154.935,153.387
0.001,0.477,2.816,2.816,141.075,155.227,153.679
0.003,0.951,2.917,2.917,140.836,155.515,153.969
0.004,1.417,3.017,3.017,140.599,155.797,154.254
0.006,1.871,3.116,3.116,140.366,156.070,154.533
0.007,2.311,3.215,3.215,140.137,156.331,154.803
0.008,2.731,3.312,3.312,139.915,156.577,155.062
0.010,3.130,3.407,3.407,139.699,156.804,155.307
0.011,3.502,3.501,3.501,139.492,157.011,155.538
0.013,3.845,3.592,3.592,139.295,157.193,155.751
0.014,4.155,3.678,3.678,139.108,157.348,155.944
0.015,4.430,3.759,3.759,138.933,157.473,156.116
0.017,4.667,3.833,3.833,138.772,157.564,156.263
0.018,4.867,3.899,3.899,138.624,157.621,156.385
0.020,5.035,3.955,3.955,138.490,157.646,156.484
0.021,5.181,4.001,4.001,138.367,157.645,156.562
0.022,5.309,4.035,4.035,138.256,157.620,156.621
0.024,5.427,4.061,4.061,138.156,157.577,156.665
0.025,5.539,4.080,4.080,138.064,157.520,156.695
0.027,5.647,4.092,4.092,137.982,157.452,156.715
0.028,5.753,4.101,4.101,137.907,157.378,156.726
0.029,5.855,4.106,4.106,137.838,157.303,156.730
0.031,5.952,4.111,4.111,137.775,157.230,156.731
0.032,6.040,4.115,4.115,137.718,157.163,156.731
0.034,6.117,4.120,4.120,137.663,157.107,156.732
0.035,6.184,4.126,4.126,137.613,157.065,156.737
0.036,6.241,4.133,4.133,137.565,157.035,156.743
0.038,6.291,4.142,4.142,137.520,157.015,156.752
0.039,6.336,4.153,4.153,137.477,157.004,156.763
0.041,6.378,4.168,4.168,137.438,157.000,156.776
0.042,6.417,4.184,4.184,137.401,157.003,156.789
0.043,6.455,4.203,4.203,137.366,157.010,156.803
0.045,6.491,4.223,4.223,137.334,157.019,156.817
0.046,6.526,4.243,4.243,137.304,157.030,156.831
0.048,6.559,4.261,4.261,137.276,157.040,156.845
0.049,6.588,4.277,4.277,137.251,157.048,156.857
0.050,6.615,4.291,4.291,137.227,157.053,156.869
0.052,6.640,4.300,4.300,137.204,157.054,156.878
0.053,6.663,4.305,4.305,137.183,157.050,156.886
0.055,6.686,4.308,4.308,137.162,157.044,156.893
0.056,6.710,4.308,4.308,137.141,157.035,156.899
0.058,6.735,4.307,4.307,137.118,157.023,156.903
0.059,6.762,4.305,4.305,137.095,157.010,156.907
0.060,6.792,4.302,4.302,137.069,156.996,156.911
0.062,6.825,4.300,4.300,137.040,156.981,156.914
0.063,6.860,4.299,4.299,137.007,156.967,156.916
0.065,6.900,4.299,4.299,136.971,156.953,156.919
0.066,6.943,4.300,4.300,136.929,156.939,156.921
0.067,6.991,4.302,4.302,136.883,156.928,156.924
0.069,7.044,4.307,4.307,136.831,156.918,156.927
